region,year,percentage,source
Costa Rica,2000,5.8003,International Telecommunication Union (ITU)
Costa Rica,2005,22.07,International Telecommunication Union (ITU)
Costa Rica,2010,36.5,International Telecommunication Union (ITU)
Costa Rica,2015,59.763,International Telecommunication Union (ITU)
Costa Rica,2016,65.8804,International Telecommunication Union (ITU)
Costa Rica,2017,71.3908,International Telecommunication Union (ITU)
Costa Rica,2018,74.0868,International Telecommunication Union (ITU)
Côte d’Ivoire,2000,0.2315,International Telecommunication Union (ITU)
Côte d’Ivoire,2005,1.0392,International Telecommunication Union (ITU)
Côte d’Ivoire,2010,2.7,International Telecommunication Union (ITU)
Côte d’Ivoire,2015,38.44,International Telecommunication Union (ITU)
Côte d’Ivoire,2016,41.2078,International Telecommunication Union (ITU)
Côte d’Ivoire,2017,43.8399,International Telecommunication Union (ITU)
Côte d’Ivoire,2018,46.8237,International Telecommunication Union (ITU)
Croatia,2000,6.6449,International Telecommunication Union (ITU)
Croatia,2005,33.14,International Telecommunication Union (ITU)
Croatia,2010,56.55,International Telecommunication Union (ITU)
Croatia,2015,69.8031,International Telecommunication Union (ITU)
Croatia,2016,72.6973,International Telecommunication Union (ITU)
Croatia,2017,67.0962,International Telecommunication Union (ITU)
Croatia,2018,75.2946,International Telecommunication Union (ITU)
Cuba,2000,0.5412,International Telecommunication Union (ITU)
Cuba,2005,9.7381,International Telecommunication Union (ITU)
Cuba,2010,15.9,International Telecommunication Union (ITU)
Cuba,2015,37.3051,International Telecommunication Union (ITU)
Cuba,2016,42.9787,International Telecommunication Union (ITU)
Cuba,2017,57.1484,International Telecommunication Union (ITU)
Curaçao,2016,61.8555,International Telecommunication Union (ITU)
Curaçao,2017,68.1272,International Telecommunication Union (ITU)
Cyprus,2000,15.2554,International Telecommunication Union (ITU)
Cyprus,2005,32.81,International Telecommunication Union (ITU)
Cyprus,2010,52.99,International Telecommunication Union (ITU)
Cyprus,2015,71.7159,International Telecommunication Union (ITU)
Cyprus,2016,75.9002,International Telecommunication Union (ITU)
Cyprus,2017,80.7432,International Telecommunication Union (ITU)
Cyprus,2018,84.4336,International Telecommunication Union (ITU)
Czechia,2000,9.7805,International Telecommunication Union (ITU)
Czechia,2005,35.27,International Telecommunication Union (ITU)
Czechia,2010,68.82,International Telecommunication Union (ITU)
Czechia,2015,75.6688,International Telecommunication Union (ITU)
Czechia,2016,76.4812,International Telecommunication Union (ITU)
Czechia,2017,78.7192,International Telecommunication Union (ITU)
Czechia,2018,80.6882,International Telecommunication Union (ITU)
Dem. People's Rep. Korea,2000,0,International Telecommunication Union (ITU)
Dem. People's Rep. Korea,2005,0,International Telecommunication Union (ITU)
Dem. People's Rep. Korea,2010,0,International Telecommunication Union (ITU)
Dem. Rep. of the Congo,2000,0.0059,International Telecommunication Union (ITU)
Dem. Rep. of the Congo,2005,0.238,International Telecommunication Union (ITU)
Dem. Rep. of the Congo,2010,0.72,International Telecommunication Union (ITU)
Dem. Rep. of the Congo,2015,3.8,International Telecommunication Union (ITU)
Dem. Rep. of the Congo,2016,6.21,International Telecommunication Union (ITU)
Dem. Rep. of the Congo,2017,8.6199,International Telecommunication Union (ITU)
Denmark,2000,39.1724,International Telecommunication Union (ITU)
Denmark,2005,82.74,International Telecommunication Union (ITU)
Denmark,2010,88.72,International Telecommunication Union (ITU)
Denmark,2015,96.3305,International Telecommunication Union (ITU)
Denmark,2016,96.9678,International Telecommunication Union (ITU)
Denmark,2017,97.0994,International Telecommunication Union (ITU)
Denmark,2018,97.3192,International Telecommunication Union (ITU)
